episode,system,total_reward,deliveries_completed,deliveries_total,success_rate,rule_violations,collisions,battery_failures,steps,avg_battery_remaining,symbolic_interventions,timestamp
174,neuro_dqn,-478.5500604137778,4,10,0.4,0,0,0,500,18.49999999999977,2250,2026-05-22T16:48:54
175,neuro_dqn,-789.950068037957,5,10,0.5,0,0,0,500,21.559999999999597,2129,2026-05-22T16:48:59
176,neuro_dqn,-5272.0500410199165,4,10,0.4,298,0,0,500,3.9399999999999347,1864,2026-05-22T16:49:04
177,neuro_dqn,-750.3000844158232,6,10,0.6,0,0,0,500,17.05999999999988,1909,2026-05-22T16:49:08
178,neuro_dqn,-122.4500634111464,7,10,0.7,0,0,0,500,22.179999999999662,2261,2026-05-22T16:49:13
179,neuro_dqn,-805.2000654526055,4,10,0.4,0,0,0,500,4.619999999999746,1921,2026-05-22T16:49:18
180,neuro_dqn,-1330.6000540591776,2,10,0.2,0,3,0,500,20.239999999999743,2200,2026-05-22T16:49:23
181,neuro_dqn,-324.15007242932916,6,10,0.6,0,1,0,500,4.399999999999812,2037,2026-05-22T16:49:28
182,neuro_dqn,-516.0500681735575,5,10,0.5,0,0,0,500,29.699999999999555,2221,2026-05-22T16:49:33
183,neuro_dqn,-939.9500709213316,5,10,0.5,0,0,0,500,5.359999999999909,2044,2026-05-22T16:49:38
184,neuro_dqn,-799.7500787936151,6,10,0.6,0,1,0,500,37.99999999999973,2413,2026-05-22T16:49:44
185,neuro_dqn,-3560.2501048222184,5,10,0.5,177,1,0,500,36.35999999999975,2139,2026-05-22T16:49:49
186,neuro_dqn,-1030.6500519812107,2,10,0.2,0,0,0,500,22.53999999999963,2236,2026-05-22T16:49:55
187,neuro_dqn,-2012.4000841379166,6,10,0.6,70,1,0,500,6.659999999999913,1953,2026-05-22T16:49:59
188,neuro_dqn,-1546.3500750884414,4,10,0.4,32,0,0,500,6.139999999999914,2009,2026-05-22T16:50:04
189,neuro_dqn,-827.7000546082854,4,10,0.4,0,0,0,500,23.019999999999566,2470,2026-05-22T16:50:10
190,neuro_dqn,-737.4000654295087,6,10,0.6,0,0,0,500,5.159999999999857,1900,2026-05-22T16:50:14
191,neuro_dqn,-501.90004597976804,4,10,0.4,0,2,0,500,31.619999999999607,2221,2026-05-22T16:50:19
